"Country Name","GDP/population","Country Code","Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, value added (% of GDP)","Births attended by skilled health staff (% of total)","Cash surplus/deficit (% of GDP)","Contraceptive prevalence (% of women ages 15-49)","Exports of goods and services (% of GDP)","External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)","GDP (current US$)","GDP growth (annual %)","GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)","Gross capital formation (% of GDP)","High-technology exports (% of manufactured exports)","Immunization, measles (% of children ages 12-23 months)","Imports of goods and services (% of GDP)","Income share held by lowest 20%","Industry, value added (% of GDP)","Inflation, GDP deflator (annual %)","Internet users (per 100 people)","Life expectancy at birth, total (years)","Malnutrition prevalence, weight for age (% of children under 5)","Market capitalization of listed companies (% of GDP)","Merchandise trade (% of GDP)","Military expenditure (% of GDP)","Mobile cellular subscriptions (per 100 people)","Mortality rate, under-5 (per 1,000)","Net barter terms of trade (2000 = 100)","Official development assistance and official aid (current US$)","Population growth (annual %)","Population, total","Prevalence of HIV, total (% of population ages 15-49)","Primary completion rate, total (% of relevant age group)","Ratio of girls to boys in primary and secondary education (%)","Renewable internal freshwater resources per capita (cubic meters)","Revenue, excluding grants (% of GDP)","Roads, paved (% of total roads)","Services, etc., value added (% of GDP)","Surface area (sq. km)","Time required to start a business (days)","Total debt service (% of exports of goods, services and income)","Workers' remittances and compensation of employees, received (current US$)"
"Afghanistan",0,"AFG","121,262","37,4741116087",,"-1,6790963042",,"17,2869746229","2,04E+009","6,634","2,88E+008","1,02E+010","16,177652941",,,"9,80E+009","3,06E+010","30,5824848924",,70,"56,5929055537",,"24,9407173281","6,7574630977",,"43,8307317073",,,"32,6071519","2,1058879874",,257,,"3,95E+009",,,,,"57,7365184223",,"6,7290221277",,"37,5851710632",652090,9,,
"Albania","3457,7398115823","ALB","14,16","21,4296517303",,,,"27,8462082101","2,78E+009","1,873","4,77E+008","1,08E+010",6,3360,7350,"1,05E+010","2,30E+010","29,9429410955",,97,"54,3179570556",,"19,9556814014","3,1598111878",,"76,4982926829",,,"48,6371590382","1,7984076758","73,4247673871","15,181",,"3,05E+008","0,3423937531",3132458,,,,"8587,5054031052",,,"58,6146668683",28750,36,"4,1490857893","1,47E+009"
"Algeria","3967,3113671714","DZA","7,339","8,1779250997",,"6,1778491758",,"47,1298698258","5,54E+009","2,383","1,66E+009","1,34E+011",3,3610,7650,"1,22E+011","2,59E+011","33,6904419815",,92,"23,5531153064",,"61,0919805829","6,7921001249","10,3389169032","72,2502439024",,,"65,3696774048","2,9379875782","81,4196204876",37,"183,799076173","3,90E+008","1,4926174394","3,39E+007","0,1","95,138053543",,"332,233709744","40,3774472932",,"30,7300987725",2381740,24,,"2,12E+009"
"American Samoa",0,"ASM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,6730156341","65029,3607635464",,,,,,,,200,,,
"Andorra",0,"ADO",,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,"2,7",,,"2,8311345059",82180,,,"102,6617355656",,,,,470,,,
"Angola","3375,9511475276","AGO","123,683","9,6978681538","47,3",,,"73,9232069174","1,27E+010","5,785","-8,93E+008","5,93E+010","20,2795799202",2590,4400,"4,55E+010","7,72E+010","14,3652729786",,88,"40,3977518775",,"72,3986797974","4,1250837516","2,8368656963","46,8014634146",,,"97,9646443841","3,7837","28,263476465",158,"204,0598740576","2,41E+008","2,6873692302","1,76E+007","2,1",,,"8430,8458445472",,,"17,9034520488",1246700,119,"10,2432488262",
"Antigua and Barbuda","13615,6629165354","ATG",,,,,,,,,"3,91E+008","1,15E+009","8,5322959642",12610,19350,"1,07E+009","1,64E+009",,"0,0565124784",99,,,,"8,4747014753","70,7434213434",,,,"69,6228932673",,"132,5036072332","10,8",,4190000,"0,8484306033","84813,5400587651",,"97,2921914358","95,0220572875","613,1096516425",,,,440,21,,"2,35E+007"
"Argentina","6643,7412418242","ARG","56,9","9,394874713",,,,"24,6265468942","1,28E+011","2,254","6,46E+009","2,62E+011","8,6533368464",6040,12970,"2,39E+011","5,12E+011","24,2009503505","6,6236865266",99,"20,3371259843",,"33,7362018118","14,1649276632","25,9380936033","75,2185365854",,"33,0287420834","38,2874037656","0,7498253798","102,2739927458","16,3","116,1660777385","8,20E+007","0,9389172466","3,95E+007","0,5",,,"6986,7287003743",,,"56,8689234752",2780400,31,"12,9990555503","6,07E+008"
"Armenia","2995,8088594798","ARM","35,706","20,2820602192",,"-0,5669948204",,"19,1894053167","2,89E+009","1,735","6,99E+008","9,20E+009","13,7",2580,5740,"7,91E+009","1,76E+010","37,789973983","2,0276024291",92,"39,1584900031",,"43,9088082786","4,2574357371",,"73,3953658537",,"1,1407497289","48,0212178738","3,0425582439","61,0721411252","24,3",,"3,52E+008","0,1294593422",3072450,"0,1","97,5367682399","104,4222170476","2952,3670035314","20,960296856",,"35,8091315022",29800,18,"7,0467248204","8,46E+008"
"Aruba",0,"ABW","33,439",,,,,,,"1,738","-1,16E+008",,,,,,,,"0,0931719284",,,,,,"23,037935801","74,6404878049",,,,,"139,9832974965",,"192,4811110291",,"1,4289133946",104176,,"98,6147757256","100,6735735109",,,,,180,,,"1,26E+007"
"Australia","39066,0738353704","AUS","14,896",,,"1,6749005904",,"20,6273656991",,"1,931","3,96E+010","8,21E+011","3,3000121509",35760,33400,"7,52E+011","7,02E+011","27,4805532126","13,5226740143",94,"21,8473443922",,,"4,6322615856","53,2952652867","81,2926829268",,"158,1572343233","37,3573992327","1,9765242322","101,1658339281","5,7","152,3911403316",,"1,5204222607","2,10E+007","0,2",,"97,4918886837","23411,8486795146","27,4812226373",,,7741220,2,,"3,83E+009"
"Austria","44879,5241251203","AUT","12,779","1,9412733271",,"-0,8558755973",,"58,8590648085",,"1,38","3,07E+010","3,73E+011","3,3548247871",41970,36750,"3,49E+011","3,06E+011","20,8429038399","11,3045566954",79,"51,5702721208",,"31,1858293967","2,2960492201","67,365151543","80,0317073171",,"61,2840478317","87,6359346937","0,9410667061","119,2001324767","4,4",,,"0,3976785127",8315427,"0,2","102,2319930187","97,2331971124","6614,2123549398","37,1034326197",,"66,8728972762",83870,28,,"2,96E+009"
"Azerbaijan","3851,4029882252","AZE","33,849","5,9059209446",,,,"68,1297392149","3,02E+009",2,"-4,75E+009","3,30E+010","25,049",2710,6630,"2,32E+010","5,69E+010","20,1142413878","3,9372958261",97,"28,5131963193",,"68,5135448851","20,984036634","10,7979241789","67,3802439024",,,"82,6455857692","2,8630866331","52,6611475982","39,3",,"2,25E+008","1,1336107477",8581279,"0,2","113,3424895308","96,6898727977","945,6632280573",,,"25,5805341703",86600,36,"0,6967161964","1,29E+009"
"Bahamas, The","19843,5477177628","BHS","52,976",,,,,,,"2,022","7,13E+008","6,57E+009","2,7957952023",,,,,,"1,32E-004",96,,,,"2,4897356033","36,2384080918","73,3958536585",,,"57,193731697","0,8872318019","112,9427365659","13,4",,,"1,1729357259","331140,373760788",3,"97,3007712082","101,4050514335","60,3973468196",,,,13880,31,,
"Bahrain",0,"BHR","16,732",,,,,,,"2,292","1,76E+009",,,,,,,,"0,0458083501",99,,,,,"33,2098383169","75,8309756098",,,,,"148,2487182465","10,18","119,7264033406",,"1,8604749621","752788,970589759",,,,"5,3135741307",,,,710,9,,
"Bangladesh","433,6883166255","BGD","71,608","19,2434650141",18,"-1,332534035","55,8","19,7766917282","2,20E+010","2,358","6,53E+008","6,84E+010","6,4278425208",480,1340,"7,49E+010","2,11E+011","24,4641801536",,88,"26,7024271451",,"28,377570492","6,786450298","0,3169521637","65,9551219512",,"9,9293841413","45,3833351853","1,2010110971","21,7872917295","60,5","69,0730452198","1,50E+009","1,4619078692","1,58E+008",,,"107,4046781662","665,59954367","10,2526709136",,"52,3789644939",144000,74,"3,8962088103","6,56E+009"
"Barbados","13392,6291432096","BRB","42,7",,,,,,,"1,525",,"3,41E+009",,,,,,,"9,9725076442",75,,,,,,"76,9065853659",,"164,2499266647","63,8086095629",,,"11,6","114,2284263411","1,37E+007","0,2568678111",254543,"1,2","94,6305156831","101,2748274332","314,2887449272",,,,430,,,"1,40E+008"
"Belarus","4666,6369816352","BLR","21,262","9,2322798046",,"0,4315087104",,"61,0446321887","9,47E+009","1,287","1,79E+009","4,53E+010","8,600000785",4240,10790,"4,12E+010","1,05E+011","32,8240637347","2,6775335393",99,"67,0933965109",,"41,7343425886","12,8727082725","28,9605236034","70,2034146341",,,"116,9906372867","1,6497659144","71,7377860235","13,4",,"8,33E+007","-0,3138750679",9702000,"0,2","92,3970810678","101,0925575503","3834,2609771181","38,2513145279",,"49,0333776067",207600,48,"3,8758332286","3,54E+008"
"Belgium","42609,3104583101","BEL","7,722","0,8725256355",,,,"89,4102176542",,"1,81","7,22E+010","4,53E+011","2,7991142803",41120,35320,"4,37E+011","3,75E+011","22,3440145103","7,4833201241",92,"86,5120918984",,"24,0736210493","1,6330690281","65,9384322915","80,2207317073",,"85,3359281692","186,8243100746","1,1405683192","101,0580102958","4,6","101,1504424779",,"0,7343308308","1,06E+007","0,2","86,3791413131","98,0565511259","1129,3373613033",,,"75,0538533151",30530,4,,"8,56E+009"
"Belize","4199,9631706567","BLZ","78,717","12,271381145",,,,"59,879526094","1,06E+009","2,935","1,12E+008","1,28E+009","1,2187445497",3760,6080,"1,14E+009","1,85E+009","19,2881568022","0,0758090529",96,"61,6857206322",,"21,4834972845","3,9793970658","10,5266220596","76,1980487805",,,"74,4840232297",,"38,9202113237","25,4","78,8224076549","2,34E+007","2,1248303208","303991,155176035","2,1","106,2864644107","101,6385532786","52633,1102980109",,,"66,2451215705",22970,44,"69,2987340574","7,48E+007"
"Benin","646,6734354363","BEN","111,787",,,,,,"8,57E+008","5,485","4,80E+007","5,43E+009","4,6000563638",610,1410,"5,12E+009","1,18E+010",,,61,,,,"2,8679997996","1,7871755145","61,172195122",,,"45,6001350491",,"22,6891939743","123,4","80,329224636","4,70E+008","3,2073271309",8393132,"1,2",,,"1227,19385326",,,,112620,31,,"2,24E+008"
"Bermuda","91490,296","BMU",,,,,,,,"1,7568",,"5,86E+009","4,6369228363",,,,,,,,,,,"4,5512814522",75,"78,8614390244",,"46,6427540578","19,0935550148",,,,,,"0,3129893009",64000,,,,,,,,50,,,
"Bhutan","1558,1612382492","BTN","38,281","20,5126023275",,,"35,4","52,5985636376","7,75E+008","2,677","7,83E+007","1,05E+009","14,0480316257",1480,4050,"9,99E+008","2,74E+009","41,8570266857",,95,"57,1192781821",,"43,4924840105","4,5721958981","5,9168096562","65,8602439024",,,"113,9420359045",,"22,1050529554",84,,"8,92E+007","1,8024314751",676040,"0,1",,,"140524,229335542",,,"35,994913662",47000,48,,
"Bolivia","1378,5183362723","BOL","78,2","12,877394395",,"1,2421216505",,"41,7956567499","4,95E+009","3,5","2,04E+008","1,31E+010","-2,74E-006",1220,3960,"1,16E+010","3,77E+010","15,1866548335","4,6742998032",81,"34,2662546827",,"36,3892842806","12,2742894282","10,5069197043","65,5129268293",,"17,2483445923","60,3292673519","1,7454754589","34,1938245548","57,4","137,1535580524","4,76E+008","1,7348530805","9517537,28157844","0,2","97,7426864623","98,660827133","31891,7584475865","23,2656060006",,"50,7333213244",1098580,50,"11,9486630362","9,27E+008"
"Bosnia and Herzegovina","4008,0766123777","BIH","15,928",,,"1,0489577331",,"39,0773328389","6,48E+009","1,214","2,11E+009","1,51E+010","6,84",3780,8010,"1,43E+010","3,03E+010","22,6841497227","3,0197040998",96,"73,6505857139",,,"5,9326689146","27,9217977933","75,0007317073",,,"92,0354974354","1,2984612541","64,8533377796","14,2",,"4,43E+008","-0,0814296746",3778410,"0,1",,"99,395085588","9395,4864612363","40,2513086494",,,51210,54,"8,0360042153","2,70E+009"
"Botswana","6550,2286063691","BWA","52,128","1,8159815323",,,,"47,0402280527","4,02E+008","2,896","-2,86E+007","1,23E+010","4,2450357432",6100,12760,"1,15E+010","2,40E+010","40,6587929981","0,431242053",90,"36,6134773631",,"49,2891146337","12,9705688733","5,3151017527","50,5875609756",,"47,7710352877","74,8083697247","2,5709358293","61,2172690983","39,7","89,5825914048","1,04E+008","1,2444571653","1881431,5257196","23,9",,,"1275,624420656",,,"48,894903834",581730,108,"0,8561158389","1,41E+008"
"Brazil","7012,7844446387","BRA","75,6","5,9822290702",,,,"13,6817637437","2,37E+011","1,9","3,46E+010","1,33E+012","5,6695064797",6060,9510,"1,15E+012","1,81E+012","17,7344490765","12,376920881",99,"12,1405014069","3,02","28,051030821","3,7321287158","35,5093676496","72,2807317073","2,2","102,7830852957","21,5422894768","1,4909853708","63,6335510108","21,7","107,7769625825","2,97E+008","1,0371062216","1,90E+008","0,6",,"102,5091650794","28497,7916183934",,,"65,9667401088",8514880,152,"27,8203440366","4,38E+009"
"Brunei Darussalam",0,"BRN","25,043","0,687650919",,,,"67,6555557251",,"2,294",,,"0,6199969649",,50200,,"1,95E+010","12,9470672607",,97,"27,8166408539",,"71,0370941162","0,9460847974","48,2720657927","77,2926829268",,,,"2,4146108221","89,6319005997","8,8","196,0228977255",,"1,8932100772","389252,038242555",,"107,3682707411","101,2282959618","21836,7514230032",,,"28,2752552032",5770,116,,
"Bulgaria","5163,2450252995","BGR","42,228","6,2448287449",,"3,5463189213",,"63,3949847468","3,30E+010","1,42","8,97E+009","3,95E+010","6,167264825",4460,10790,"3,41E+010","8,27E+010","36,7971230905","6,0052719017",96,"85,4876461209",,"32,2958251862","7,8516059648","30,9152736298","72,683902439",,"55,1034378898","123,0420208785","2,6097040864","129,2138635081","11,8",,,"-0,5111874154",7659764,,"98,1712062257","96,6445454111","2741,5988273268","37,1500028539",,"61,4593460689",111000,32,"15,4595168178","2,13E+009"
"Burkina Faso","457,9271032631","BFA","130,9",,,,,,"1,46E+009","6,004","6,00E+008","6,77E+009","3,59720801",430,1120,"6,40E+009","1,65E+010",,,94,,,,"3,7408058752","0,7443783535","52,2024390244",,,"33,1462174396","1,4013320178","10,9017593414","190,7","89,6261412833","9,30E+008","2,8759005169","1,48E+007","1,6","33,2955359596","81,7939356016","845,8844926565",,,,274000,18,,"5,00E+007"
"Burundi","125,0047686891","BDI","18,62",,,,,,"1,46E+009","4,655",500000,"9,80E+008","3,600298595",120,370,"9,56E+008","2,88E+009",,"3,7932340318",75,,,,"8,2774695062","0,7017113208","50,2295121951",,,"37,9759666948","4,7264150943","3,4447646658","179,5","128,6373573239","4,66E+008","3,0373660236",7837981,2,"39,2308943712","90,0252555386","1283,4937977012",,,,27830,32,"42,6034072031",190000
"Cambodia","578,4906763084","KHM","39,217","31,8841789699",,,,"65,3313199493","3,76E+009","3,175","8,67E+008","8,36E+009","10,2046015509",550,1720,"7,99E+009","2,49E+010","20,7859731552",,79,"72,9481546836","7,1273962944","26,7730459135","6,5182213354","0,4845613066","59,5292682927",,,"113,8291684544","1,107327738","17,8825135057","90,9","84,7594663621","6,72E+008","1,7418194787","1,44E+007","0,8","85,061116314","89,6491769961","8346,2223906639",,,"41,3427751166",181040,86,"0,4944589272","3,53E+008"
"Cameroon","1116,4832362951","CMR","127,502","19,4597785119",,,,"22,0542557483","3,16E+009","4,314","4,33E+008","2,07E+010","3,4999974527",1050,2120,"1,95E+010","3,93E+010","17,3114158935",,74,"21,240419524",,"30,6354350033","2,0578062775","2,9547615182","50,3946341463",,,"35,2047423372","1,4340258169","24,4755263812","148,2","132,0500476961","1,93E+009","1,9511760327","1,85E+007","5,1","55,4748243112","84,5135425634","14730,6408775912",,,"49,9047864848",475440,37,"9,8676303335","1,67E+008"
"Canada","40328,8117445915","CAN","12,779",,,"1,7633569448",,,,"1,59","1,12E+011","1,33E+012","2,7",39650,35500,"1,31E+012","1,17E+012",,"14,3061019881",94,,,,"-3,8327526132","72,7787239204","80,5658536585",,"164,41674364","60,9530439898","1,3096922094","61,4913876759","5,7","117,6406572161",,"0,9965796766","3,30E+007","0,4",,,"86426,4919941776","21,0476929461",,,9984670,3,,
"Cape Verde","2941,8526944748","CPV","94,898","8,478150091",,,,"19,7048489991","5,99E+008","2,764","1,30E+008","1,45E+009","6,9420043099",2680,3220,"1,32E+009","1,58E+009","40,2954291081",0,74,"54,6630444234",,"16,3612693783","3,1759074448","8,2832198195","70,9048780488",,,"53,1673483699","0,544854305","30,9552039079","32,2","103,2695689177","1,63E+008","1,4457796879",491717,,"86,239675861","103,84975564","610,1070331105",,,"75,1605805306",4030,52,"3,7743915052","1,39E+008"
"Cayman Islands",0,"CYM",,,,,,,,,,,,,,,,,,,,,,,"41,0996011471",,,,,,,,,,"1,3352714211","53528,5",,,,,,,,260,,,
"Central African Republic","394,2006376072","CAF","106,623","53,8656057408",,,,"14,8480414045","9,73E+008","4,578","2,72E+007","1,71E+009","4,2",370,710,"1,61E+009","3,08E+009","8,8798004025",,62,"22,2762506885",,"14,2221932058","1,9776065924","0,3683745938","44,6665853659",,,"24,9390691797","1,1162727215","2,9930435746","171,9","81,2500100586","1,76E+008","1,8261876469","4343404,85729193","6,3","30,2442671086",,"32463,0110783438",,,"31,9122010534",623000,22,,
"Chad","650,8998370315","TCD","164,415","23,4225330393",,,,"49,6142937061","1,80E+009","6,195","6,03E+008","7,01E+009","0,1999974709",510,1220,"5,46E+009","1,31E+010","19,2676572985",,23,"34,2531574976",,"44,0884297194","1,7363616702","0,8361484893","50,6226829268",,,"73,9713180939","0,9916617034","8,5320220225",209,,"3,52E+008","2,7833555996","1,08E+007","3,5","30,4331735772","64,320594588","1393,5808154669",,,"32,4890372412",1284000,75,,
"Channel Islands","77171,864190268","CHI","9,912",,,,,,,"1,42",,"1,15E+010","5,8983297348",68640,,"1,02E+010",,,,,,,,"3,3363332748",,"78,9958536585",,,,,,,,,"0,1766224431","149207,300987451",,,,,,,,190,,,
"Chile","9875,3547022699","CHL","59,6","4,2446110531",,"8,8191708258",,"47,0797390791","5,86E+010","1,944","1,45E+010","1,64E+011","4,6803582463",8160,12280,"1,35E+011","2,04E+011","21,0762487137",,91,"33,3142770346",,"47,0595310772","5,0909473476","31,1106089189","78,4363414634","0,6","129,9203345448","70,033153913","3,4325654645","84,0948561224","9,02","194,3650126156","1,20E+008","0,9805456814","1,66E+007","0,3","94,8371625116","98,633864138","53270,3523834419","27,4858612561",,"48,6958578697",756630,27,"14,2195627108",2500000
"China","2565,6091561926","CHN","9,736","11,1256636068",,,,"42,5333232913","3,74E+011","1,725","1,38E+011","3,38E+012",13,2410,5430,"3,18E+012","7,15E+012","43,3015164823","29,6943795243",94,"32,7896485904",,"48,5021725106","7,4465195124","16,1252534282","72,9980487805",,"184,0867196788","64,2937023913","1,9587572773","41,5157359414","21,9","78,923550178","1,44E+009","0,5544943899","1,32E+009","0,1","100,9150237775","99,9875550012","2133,3378251805",,"70,7","40,3721638827",9598088,35,"2,2368470128","3,28E+010"
"Colombia","4723,7947935164","COL","74,3","8,9163238452",,"-1,7881496662",,"16,8741345647","4,50E+010","2,45","9,04E+009","2,08E+011","7,5458901195",4100,8260,"1,80E+011","3,63E+011","24,3252632628","2,8797784218",95,"21,0427986385",,"35,4690101866","4,7522424981","27,5081274013","72,8348780488",,"49,0678703677","30,2660370245","3,2970619621","77,1617068679","20,3","121,3640098603","7,31E+008","1,2536480615","4,40E+007","0,6","106,6284374714","104,4465924532","48014,1860095028","24,0404918432",,"55,6146659682",1141750,42,"21,9775612954","4,52E+009"
"Comoros","739,8818972743","COM","45,657","45,3437217813",,,,"12,1653377743","2,91E+008","4,302",800000,"4,65E+008","0,4909909399",690,1170,"4,35E+008","7,32E+008","13,7737533344",,65,"37,3489618102",,"11,8570559936","5,1834812979","3,5168119325","65,1309756098",,,"32,9068188074",,"6,365270466","65,8","61,2590302091","4,45E+007","2,3839924857","628410,060713836","0,1",,,"1909,5811398005",,,,1861,23,,"1,20E+007"
"Congo, Dem. Rep.","159,4536062919","ZAR","201,414","41,0842559662",74,,"20,6","27,1901815199","1,23E+010","6,3","7,20E+008","9,95E+009","6,2566183508",140,290,"8,79E+009","1,78E+010","19,5637980699",,79,"37,9694969831",,"27,4840882203","17,6754611793","0,3692353602","46,4187804878",,,"59,8003092631","0,0020606384","10,5642339156","161,4","119,1565653199","1,22E+009","2,8533953337","6,24E+007",,"50,6836825977","73,4149265445","14423,2562561898",,,"31,4316558134",2344860,155,,
"Congo, Rep.","2153,0882655753","COG","112,808","5,0462156298",,,"20,6","73,0105883637","5,16E+009","4,41","4,29E+009","7,65E+009","-1,59",1510,2700,"5,37E+009","9,60E+009","27,1359806033",,67,"42,9116380631",,"59,841772001","-7,8908295488","2,7597043737","53,5312195122",,,"112,2833465249","1,3876487283","36,2600092084","125,4","187,0965740001","1,27E+008","1,8482934874",3551105,"3,5","72,2670420705",,"62515,7521391229",,,"35,1120123692",342000,37,"1,1953949837","1,48E+007"
"Costa Rica","5886,603214992","CRI",67,"8,7069984379",,"1,7391840725",,"48,8093678603","7,85E+009","2,099","1,90E+009","2,63E+010","7,7954708977",5520,10510,"2,47E+010","4,69E+010","24,6164829525",,90,"53,6361802236",,"28,7660547572","9,2977537901","33,6157609856","78,7865853659",,"7,7483070406","84,8567042418",,"33,7999529453","11,48","84,9303135889","5,27E+007","1,4315303768","4462192,60258227","0,4","91,3827413616","101,6908966746","25189,4102318565","24,6789012639",,"62,526946805",51100,77,"4,4184091349","6,35E+008"
"Cote d'Ivoire","983,7460650529","CIV","129,929","23,8536523461",,"-0,8263560355",,"46,5847674756","1,39E+010","4,645","4,27E+008","1,98E+010","1,7142291904",880,1550,"1,78E+010","3,11E+010","8,6250911205","31,5041185961",67,"40,9457307538",,"25,286073076","2,7128809672","2,236269751","57,2782926829",,"42,1954312169","73,935168701","1,5915785888","37,1106877991","126,5","134,5200969422","1,65E+008","2,2585273126","2,01E+007","3,9","44,6930717742",,"3818,5548370117","19,1558604453",,"50,8602745779",322460,40,"4,4646380922","1,79E+008"
"Croatia","13200,7368951789","HRV","14,126","6,0641183982","99,9","-1,1137947709",,"42,7884873974","4,86E+010","1,4","4,92E+009","5,86E+010","5,4714145506",12000,17840,"5,32E+010","7,91E+010","28,8912635148","9,0915095669",96,"50,3506828886",,"28,2165695301","4,0448036322","44,7443204233","75,6658536585",,"112,6690963634","65,2395524627","1,6335529341","113,4941936194","5,8",,"1,64E+008","-0,0905364674",4435982,"0,1","101,3573022863","102,1929173169","8498,6819153008","35,9314814003","89,1349266478","65,7193120716",56540,22,"32,9704591059","1,39E+009"
"Cuba",0,"CUB","45,2",,"99,9",,"77,1",,,"1,49",,,,,,,,,,99,,,,,"11,6371898078","78,2590243902",,,,,"1,7611421021","6,5","143,5170018634","9,20E+007","-0,0860225663","1,13E+007","0,1","93,3942720314","98,9517780892","3386,3334005679",,,,110860,,,
