"Country Name","GDP/population","Country Code","Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, value added (% of GDP)","Births attended by skilled health staff (% of total)","Cash surplus/deficit (% of GDP)","Contraceptive prevalence (% of women ages 15-49)","Exports of goods and services (% of GDP)","External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)","GDP (current US$)","GDP growth (annual %)","GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)","Gross capital formation (% of GDP)","High-technology exports (% of manufactured exports)","Immunization, measles (% of children ages 12-23 months)","Imports of goods and services (% of GDP)","Income share held by lowest 20%","Industry, value added (% of GDP)","Inflation, GDP deflator (annual %)","Internet users (per 100 people)","Life expectancy at birth, total (years)","Malnutrition prevalence, weight for age (% of children under 5)","Market capitalization of listed companies (% of GDP)","Merchandise trade (% of GDP)","Military expenditure (% of GDP)","Mobile cellular subscriptions (per 100 people)","Mortality rate, under-5 (per 1,000)","Net barter terms of trade (2000 = 100)","Official development assistance and official aid (current US$)","Population growth (annual %)","Population, total","Prevalence of HIV, total (% of population ages 15-49)","Primary completion rate, total (% of relevant age group)","Ratio of girls to boys in primary and secondary education (%)","Renewable internal freshwater resources per capita (cubic meters)","Revenue, excluding grants (% of GDP)","Roads, paved (% of total roads)","Services, etc., value added (% of GDP)","Surface area (sq. km)","Time required to start a business (days)","Total debt service (% of exports of goods, services and income)","Workers' remittances and compensation of employees, received (current US$)"
"Kyrgyz Republic","715,3329384167","KGZ","32,281","33,570253667",,"-1,5392807411",,"44,6849861252","2,40E+009","2,7","2,08E+008","3,74E+009","8,211328461",610,1980,"3,20E+009","1,04E+010","25,9772134979","2,4426440717",99,"89,8858957534",,"18,9323518772","13,4839854935","14,3271949263","67,6951219512",,"3,2312983097","94,8559636034","3,1026966842","41,421429663","38,4",,"2,74E+008","0,8190399582",5234800,"0,1","94,723949671","100,4554366958","8873,3093909987","21,0417986768",,"47,4973944558",199900,21,"6,7489666707","7,15E+008"
"Lao PDR","705,7903352749","LAO","37,416","39,8959542422",,"-2,8931965169",,"35,7309883526","3,34E+009","3,543","3,24E+008","4,30E+009","7,859",610,1920,"3,73E+009","1,17E+010","38,0241404955",,40,"50,9685199645",,"30,7486308115","5,3780950296","1,6414075924","64,7507317073",,,"46,2693507986","0,340469643","24,2667175722","70,2","113,9892189577","3,96E+008","1,8033439439",6092332,"0,2","76,9254999775","85,9518589689","31255,6833737886","12,9888444072",,"29,3554149463",236800,100,"18,8999598232",1000000
"Latvia","12638,2242446254","LVA","15,206","3,2762871995",,"0,8081893247",,"41,9292417405","3,93E+010","1,42","2,25E+009","2,88E+010","9,977597441",10090,16770,"2,30E+010","3,82E+010","35,1429982612","7,4186858872",97,"61,0606296389",,"22,048615346","20,2951181197","55,0228021616","71,2170731707",,"10,8163974993","82,2932931848","1,6982523562","97,4038047537","8,6",,,"-0,5191893957",2276100,"0,8","89,5430373194","99,7903189728","7354,6856465006","26,5752812942",,"74,6750974545",64590,16,"73,2635632278","5,52E+008"
"Lebanon","6036,33392784","LBN","16,199","6,4124458075",,"-11,2912743447",,"24,9308196476","2,46E+010","2,209","2,84E+009","2,47E+010","7,5",6190,10910,"2,54E+010","4,47E+010","17,6649214091",,53,"49,0982568586",,"23,9920255023","3,9290639128","38,3200134666","71,9673170732",,"43,9038879328","63,9876944797","5,1284167617","30,7536413808","29,4","98,7863004081","9,39E+008","1,0248586663","4097075,80444739","0,1","81,5260027838","103,2801465635","1171,5672906978","21,1723601446",,"69,5955286902",10400,46,"18,6969891723","5,77E+009"
"Lesotho","832,3575585238","LSO","73,464","7,3921279115",,"8,7968628753",,"52,7175454695","6,80E+008","3,373","1,30E+008","1,67E+009","5,064246596",1040,1880,"2,08E+009","3,77E+009","26,5267824915",,85,"102,6086394718",,"36,056078754","9,1608661099","3,489834608","42,5573170732",,,"151,8359106462","2,3858498907","22,7337797324","83,5","78,9453721923","1,30E+008","0,5467895794","2005825,71559871","23,2",,,"2607,4050000096","60,2566574375",,"56,5517933345",30350,73,"6,9954449823","4,43E+008"
"Liberia","202,61249921","LBR","141,572","53,9719439151","46,3",,"11,4","33,2698066975","2,48E+009","5,145","1,32E+008","7,35E+008","9,4000042097",150,280,"5,31E+008","1,02E+009",20,,95,"83,7734821672","6,44","18,5697250204","15,9617188558","0,5513765806","58,0365853659","20,4",,"95,4780549286","0,490773241","15,5212507426","132,8",,"6,96E+008","4,4035935659",3627285,"1,7",,,"55137,6580555429",,,"27,4583310645",111370,68,"111,6103578897","6,46E+007"
"Libya","9475,0997222864","LBY","3,16",,,,,,,"2,724","4,69E+009","5,83E+010","6,8",9010,14710,"5,55E+010","9,06E+010",,,98,,,,"5,3908494933","4,7315940842","74,2219512195",,,"93,8057142857","1,0979591837","73,0936264291","17,8","172,008029155","1,90E+007","1,9327091732","6156487,53502059",,,,"97,4581685721",,,,1759540,,,"1,60E+007"
"Liechtenstein",0,"LIE",,,,,,,,,,,,,,,,,,,,,,,"65,2167748887",,,,,,"90,7732441092","2,5",,,"0,6543036543",35267,,"113,9364303178","91,8623357901",,,,,160,,,
"Lithuania","11521,9695943056","LTU","21,891","4,4060315456",,"-0,8823226719",,"54,3840503288",,"1,35","2,02E+009","3,89E+010","8,9246432497",9910,17090,"3,34E+010","5,77E+010","30,5179302355","11,0557722331",97,"67,7992473917",,"32,7996860229","8,8232229931","49,2078487554","70,8846341463",,"26,0561538058","107,0245824343","1,5447524779","145,5163765568","8,2",,,"-0,545490813",3375618,"0,1","94,8224417922","99,7191976358","4609,5263148851","28,8432595908",,"62,7942824315",65300,26,,"1,43E+009"
"Luxembourg","103042,443977537","LUX","12,284","0,3905401145",,"3,2206019217",,"172,5000830169",,"1,61","1,88E+011","4,95E+010","4,4564259385",79060,65050,"3,79E+010","3,12E+010","19,1129915987","8,8512281688",96,"141,9429286165",,"14,3847921965","2,1914305677","75,8165223243","79,1756097561",,"335,8339007945","101,0470700438","0,7416180556","142,6062463411","2,8",,,"1,5443868465",479993,"0,2","84,0780688238","102,0393498843","2083,3637157209","38,4011857898",,"85,2246676889",2590,26,,"1,57E+009"
"Macao, China","36249,2373857427","MAC","5,184",,,"16,2370819741",,"88,320622843",,"0,953","4,37E+009","1,86E+010","25,267142729",35360,52260,"1,81E+010","2,68E+010","36,7700054732",,,"54,640343752",,"17,6900765902","4,926084918","46,3868900514","80,6229268293",,,"42,5205938392",,"154,8158557407",,"91,0871905163",,"2,5987898718",513076,,"102,6172839506","96,8103734154",,"28,7239027619",,"82,3099234098","28,2",,,"3,99E+008"
"Macedonia, FYR","3891,2817897784","MKD","21,686","11,9589361217",,,,"53,1623927282","3,76E+009","1,426","3,20E+008","7,93E+009","5,8610861276",3410,9050,"6,95E+009","1,84E+010","22,4202907018","0,8267463204",96,"72,2427826222",,"29,5301397029","7,6514727493","27,2964335593","74,1319512195",,"34,2551027672","108,2927153385","2,0523710219","95,5663093513","16,6",,"2,13E+008","0,032193353","2037031,68325141","0,1","93,7900812313","98,2685208472","2650,9160581051",,,"58,5109241754",25710,15,,"3,45E+008"
"Madagascar","394,9116414146","MDG","132,773","26,1710302428",,"-2,6628611198",,"30,3970321085","1,66E+009","4,776","9,97E+008","7,35E+009","6,2406127198",340,980,"6,36E+009","1,82E+010","27,465913805","1,0694452139",81,"46,7989668293",,"17,4497987934","9,6821875158","0,6503850037","60,1107317073",,,"52,7134038218","1,1185379286","11,9198478422","111,8","74,8414232952","8,92E+008","2,7183840237","1,86E+007","0,1","61,5150216265","96,4732641226","18114,0286164027","11,8833469531",,"56,3791709638",587040,7,,"1,10E+007"
"Malawi","257,6035940255","MWI","135,239","34,3077322975",,,,"23,554772298","8,70E+008","5,593","5,46E+007","3,59E+009","8,6",250,760,"3,55E+009","1,06E+010","25,8367485059","2,1318427049",83,"44,526441902",,"20,3718621667","7,393436825","1,0019064648","48,2607317073",,,"58,2244198201","1,1602675609","7,5491905723","110,5","84,589816752","7,35E+008","2,541708631","1,39E+007","11,9","55,3630086736","99,7964441189","1159,4776032897",,,"45,3204055357",118480,37,,1000000
"Malaysia","7032,845125979","MYS","12,797","10,2359689903",,,,"110,1722930156","5,37E+010","2,597","8,46E+009","1,87E+011","6,3471186384",6420,13230,"1,70E+011","3,51E+011","21,9354878915","51,6612517898",90,"89,9116635429",,"47,7164944599","5,1974443684","55,7173962285","74,2875609756",,"174,4137589517","173,0911909884","2,1264629267","87,9375671613","11,2","100,095178785","2,00E+008","1,6550315634","2,65E+007","0,5",,,"21845,9711969588",,,"42,0475365498",329740,24,"4,6329623056","1,80E+009"
"Maldives","3452,347238767","MDV","13,41",,,"-8,7719558289",,,"5,62E+008","2,631","1,50E+007","1,05E+009","7,3047858942",3220,4970,"9,84E+008","1,52E+009",,,97,,,,"7,3181056697","16,2769229928","68,4970731707",,,"125,627451271",,"102,6851138477","30,2","94,491697629","3,74E+007","1,6671447131","305340,266228979",,,,"98,2510442219","49,1899503446",,,300,9,"5,0889991521",2982000
"Mali","555,1987390104","MLI","162,9","36,5410468623",,"-5,6282812609",,"27,3156611822","2,02E+009","6,516","3,60E+008","6,85E+009","2,7999702575",560,1180,"6,94E+009","1,45E+010","23,3326020719","7,275829549",68,"37,1267519805",,"24,1874806773","4,0845117817","0,8107559404","54,3107317073",,,"54,1602407584","2,3034734918","20,519349128","195,6","132,262273982","1,02E+009","3,0105461898","1,23E+007","1,5","52,1767826612","75,9572709296","4864,5356425141","16,2435049894",,,1240190,25,,"3,44E+008"
"Malta","18202,8345271349","MLT","11,466",,,"-1,774559834",,"87,7416305542",,"1,3","9,32E+008","7,45E+009","3,7899999619",16680,22460,"6,83E+009","9,19E+009","21,5610980988","52,4716526707",79,"89,933555603",,,"2,4862501621","44,712449016","79,5695121951",,"75,6301370031","105,4398755028","1,5432343804","90,7948983008","5,3",,,"0,6839121562",409197,"0,1",,,"123,4124394851","39,2184446958",,,320,,,"4,34E+007"
"Marshall Islands","2558,8150064945","MHL",,,,,,,,,,"1,49E+008","1,9696688044",3190,,"1,86E+008",,,,94,,,,"1,6996564095","3,7725711969",,,,"78,4082455988",,"1,2861038171",54,,"5,21E+007","2,2585567027","58315,6655019105",,"90,6959152799","98,8894363352",,,,,180,17,,
"Mauritania","847,1006036775","MRT","90,003","12,5404331248",,,,"57,6565198843","1,70E+009","4,37","1,53E+008","2,64E+009","1,9",840,2000,"2,64E+009","6,26E+009","25,9339707193",,67,"64,855491312",,"46,742725812","-2,5572305918","1,4418543479","64,1307317073",,,"111,5824524208",,"45,3052103713","118,5","153,5994411561","3,64E+008","2,5093531021","3120980,98300597","0,8","59,4389524211","102,5887693969","128,1648309227",,,"40,7168410632",1030700,65,,2000000
"Mauritius","5383,1495359111","MUS","39,321","5,266650251",,"-2,2658761829",,"61,8064307378","4,25E+009","1,66","3,39E+008","6,79E+009","4,6754690212",5610,11410,"7,07E+009","1,44E+010","26,7638586742","8,0989035793",98,"71,0646648514",,"27,8114542396","7,0089857648","26,9693152649","72,432195122",,"83,4821392566","90,3713201603","0,1687378862","73,6597043528","15,1","86,4413771797","7,46E+007","0,6130475794",1260692,"1,7","93,5294683204",,"2182,1348909964","20,9325276479",,"66,9218955095",2040,7,"4,8695768568","2,15E+008"
"Mayotte",0,"MYT","43,714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,07E+008","2,6084065633",186000,,,,,,,,374,,,
"Mexico","9715,1432057362","MEX","64,8","3,7332191113",,,,"28,3098647041","1,78E+011","2,1339003638","2,47E+010","1,02E+012","3,2029240756",9400,13910,"9,90E+011","1,46E+012","25,966012233","17,0881976291",96,"29,9282285977",,"35,9398110355","4,7261013263","20,9954291279","74,9064048859",,"38,8852851732","55,4374014388","0,412881925","63,2210658695","34,72","104,5948203843","1,21E+008","1,0111256278","1,05E+008","0,3","104,9145228717","99,2056247124","3884,8594004066",,,"60,3269698532",1964380,27,"12,5369809294","2,71E+010"
"Micronesia, Fed. Sts.","2145,7962538695","FSM","25,426",,,,,,,"3,705",,"2,38E+008","-3,604481247",2280,3000,"2,53E+008","3,33E+008",,,92,,,,"3,6521961502","13,5182460345","68,5053658537",,,"65,9386812264",,"24,7257732134","40,2","80,5982335804","1,15E+008","0,3106271742","110961,140681755",,,,,,,,700,16,,
"Moldova","1200,418032516","MDA","33,81","11,9706748675",,"-0,336892093",,"45,5877764768","3,20E+009","1,5","4,93E+008","4,40E+009","2,9878691494",1130,2900,"4,14E+009","1,06E+010","38,1212138125","5,096664888",96,"97,7400110512",,"14,8170432758","15,9204866456","19,0867325668","68,3475609756",,,"114,2987998163","0,5165678759","51,3386752553","18,2",,"2,69E+008","-1,1219537896",3667469,"0,4","92,9134699635","101,6833809805","272,667608097","34,2480758455",,"73,2122818567",33840,23,"9,4693856974","1,50E+009"
"Monaco",0,"MCO",,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,"4,1",,,"0,3062789531",32700,,,,,,,,"1,95",,,
"Mongolia","1506,5825244279","MNG","16,572","22,9606955214",,"7,6828251198",,"64,2856625943","1,60E+009","1,869","3,28E+008","3,93E+009","10,2228440152",1290,3170,"3,36E+009","8,27E+009","40,2378154107","7,5125534241",98,"65,7320872143",,"41,4541854406","12,3284110366","12,2680012463","66,8014634146",,"15,578449573","101,946982235","1,4392739072","35,121370693","43,3","160,269468256","2,28E+008","0,9149434766","2608411,86412632","0,1","110,3817477467","107,0314533252","13341,4513553657","40,5012376773",,"35,585119038",1566500,13,,"1,94E+008"
"Montenegro","6194,0729411552","MNE","14,724","9,2743820468",,,,"46,3264379819","1,17E+009","1,636","8,76E+008","3,85E+009","10,7",5230,12560,"3,25E+009","7,80E+009","24,772974758",,90,"84,9045017078",,"17,665489613","18,1251826789","45,0928510116","73,95",,"96,174","94,692","1,4199288256",,"10,4",,"1,06E+008","-0,0759847874",620941,,,,,,,"73,0601283402",14026,24,,
"Morocco","2434,1324404636","MAR","18,865","13,7308980023",,"2,5250040907",,"35,7997507203","2,03E+010","2,376","2,81E+009","7,51E+010","2,7150445431",2290,4050,"7,07E+010","1,25E+011","32,5305140135","9,0152050815",95,"44,9283605228","6,52","27,3144593349","3,7694994091","21,3864965614","71,1453658537",,"100,5002419021","62,5307131212","3,2061855168","64,9025084209","34,4","98,4245641536","1,09E+009","1,1866441138","3,09E+007","0,1","83,3773053604","88,0709801222","939,7096973966","34,8041912378",,"58,9546426628",446550,12,"11,4288354264","6,73E+009"
"Mozambique","374,8101105087","MOZ","149,197","27,5550565975",,,,"37,5774725767","3,10E+009","5,113","4,27E+008","8,01E+009","7,0219049355",340,730,"7,27E+009","1,56E+010","18,6587318842",,77,"44,3204894069",,"25,7199214208","7,4","0,9357949922","42,0714634146",,,"74,9015274069","0,8559453644","15,4406173706","168,4727961537","127,6072734749","1,78E+009","1,8929184284","2,14E+007","12,5","46,322957715","85,4457411739","4693,0118856588",,,"46,7250219817",799380,29,"1,3182004951","9,94E+007"
"Myanmar",0,"MMR","18,397",,,,,,"7,37E+009","2,067","4,28E+008",,,,1290,,"6,31E+010",,,81,,,,,"0,0819960708","62,0743902439",,,,,"0,5562982423",103,"122,7506739582","1,90E+008","0,8308218232","4,88E+007","0,7",,,"18051,4349779558",,,,676580,,,"1,25E+008"
"Namibia","4190,8441992489","NAM","74,414","10,2880078868",,,,"47,869241909",,"3,6","1,70E+008","8,72E+009","4,0587808728",4100,6070,"8,54E+009","1,26E+010","20,9430984265","5,2382287353",69,"49,7469775615",,"35,9604957397","9,335743452","4,8555748118","52,7773170732","17,5","8,0529475894","73,8946266329","2,6132092357","38,4729787586","67,6","139,3263789087","2,05E+008","1,6250041535","2080083,28396014","15,3","77,0827322562","103,7864643558","2961,419885204",,,"53,7514963735",824290,99,,"1,62E+007"
"Nepal","365,8291209316","NPL","101,386","33,5431300927",,,,"13,0433767568","3,64E+009","2,9588888889",5740000,"1,03E+010","3,3475877619",350,1060,"9,84E+009","2,98E+010","28,1291112887",,81,"31,2982539983",,"17,0847813549","7,7265966168","1,4142620082","63,7124390244",,"47,7451573932","36,8783374282","1,5899958527","11,6299359954","54,7","80,0265133506","5,98E+008","1,6726456096","2,81E+007","0,5",,"96,5531339776","7051,4755422887","11,8634592091",,"49,3720885524",147180,31,"4,4889145288","1,73E+009"
"Netherlands","46749,9685357557","NLD","3,787","2,1231490895",,"0,3384941478",,"75,3019013935",,"1,71","1,24E+011","7,66E+011","3,482564217",45650,39470,"7,48E+011","6,47E+011","19,7272030268","25,7892785607",96,"67,3129748346",,"24,1611386811","1,1945088123","84,1932644846","80,2324390244",,"124,8951044348","136,4532083179","1,4989178553","117,7268708515","5,2","111,6858114425",,"0,2141091979","1,64E+007","0,2",,"97,8635973431","671,504059822","41,3164813051",,"73,7157122293",41530,10,,"2,55E+009"
"Netherlands Antilles",0,"ANT","31,743",,,,,,,"1,85","2,32E+008",,,,,,,,,,,,,,,"74,9287804878",,,,,,,"128,553486455",,"1,310383002","191328,784822707",,,,,,,,800,,,"3,24E+007"
"New Caledonia",0,"NCL","26,422",,,,,,,"2,2","6,59E+008",,,,,,,,"0,5506385896",,,,,,"35,0660066007","75,9463414634",,,,,"72,751650165",,"187,8732928046",,"1,6391866401",242400,,,,,,,,18580,,,"5,86E+008"
"New Zealand","32085,5772275759","NZL","22,55",,,"3,1392468455",,,,"2,2","2,75E+009","1,36E+011",3,27090,25380,"1,15E+011","1,07E+011",,"9,8040857168",79,,,,"4,9479166667","69,1759335903","80,1212195122",,"34,9781847689","42,6198996541","1,0298206419","100,5417543694","5,8","118,1313775583",,"1,0388901102",4228300,"0,1",,"102,2219204577","77336,0452191188","36,8402811824",,,267710,12,,"6,50E+008"
"Nicaragua","1021,6498982442","NIC","112,7","19,3691035501",,"0,4171505109",,"33,2093313834","3,39E+009","2,755","3,82E+008","5,73E+009","3,9008378313",990,2510,"5,53E+009","1,41E+010","31,77062479","4,4625681157",99,"67,152356747",,"29,5674375746","9,1720031004",,"72,8904878049",,,"84,145262917","0,6786976956","37,8754684596","34,6","78,2705099778","8,34E+008","1,2971769384","5604596,02569371","0,2","74,2233047628","102,5432121831","33854,3579466131","19,4794751215",,"51,0634588752",130000,39,"11,7193573465","7,40E+008"
"Niger","299,0964953293","NER","157,368",,,"-0,9333855176",,,"9,72E+008","6,9515","2,70E+007","4,25E+009","3,3000000125",280,630,"4,00E+009","8,97E+009",,"14,4460785795",47,,,,"3,3284746158","0,3888669889","56,8917073171",,,"40,4880212244",,"6,3402226445","175,5","313,8950654991","5,42E+008","3,2823100241","1,42E+007","0,8","39,6040600959","71,4863576611","246,5642139539","13,6383518927",,,1267000,23,,"7,81E+007"
"Nigeria","1121,2161690587","NGA","126,583","32,589910379",,,,"40,1495934211","8,93E+009","5,322","6,09E+009","1,66E+011","6,4498281068",970,1850,"1,43E+011","2,74E+011",,,62,"29,6478856898",,"39,325634397","4,8082499543","6,7575356471","46,8331707317",,"52,0409770582","57,587693515","5,84E-004","27,2974788076","188,8","168,3840268359","2,04E+009","2,2296488318","1,48E+008","3,1",,,"1493,4153780051",,,"28,084455224",923770,34,"1,4234099903","9,22E+009"
"Northern Mariana Islands",0,"MNP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,049499103",83800,,,,,,,,460,,,
"Norway","82480,3114184899","NOR","8,561","1,4372413206",,"18,045404055",,"45,7983877946",,"1,9","3,79E+009","3,88E+011","3,6566151484",77370,53650,"3,64E+011","2,53E+011","23,0577527597","17,6249519568",92,"30,1445433131",,"43,0382153589","1,6058257238","84,800430141","80,396097561",,"92,0207257848","55,7795527839","1,5126339789","110,2441564332","3,6","133,9693460739",,"1,0347345153",4709153,"0,1","96,7602894266","99,316535485","81118,6215440441","50,3088384048",,"55,5245433205",323800,7,,"6,13E+008"
"Oman",0,"OMN","10,441",,,,,,,"3,089","2,38E+009",,,,,,,,"0,4558883459",97,,,,,"9,063379282","75,7953658537",,,,,"91,6993391412",12,"180,823894356","-3,13E+007","2,0846673923",2726301,,"88,153920922","98,6472744352","513,5162991907",,,,309500,35,,"3,90E+007"
"Pakistan","879,4448316995","PAK","45,691","20,5633884007","38,8","-4,1493990461","29,6","14,1120561628","4,07E+010","3,885","5,33E+009","1,43E+011","6,014541502",860,2540,"1,40E+011","4,13E+011","22,8952169584","1,3743512117",80,"21,2202496442",,"26,6023033417","7,9377941378","10,770463656","65,4836585366",,"49,1710723032","35,2902868094","3,542271972","38,7495137813","90,4","65,5391904665","2,21E+009","2,1646498116","1,62E+008","0,1","63,331409474","79,8479041254","338,5002863327","14,3865077268",,"52,8343082575",796100,24,"8,9004379362","6,00E+009"
"Palau","8148,4357027454","PLW",,"3,4979282415",,,,"67,7604708775",,,,"1,64E+008","2,1",8250,,"1,66E+008",,,,91,"64,0742837317",,"20,7038354093","2,7429809995",,,,,"76,6941182915",,"53,025416247","10,42","93,1484666233","2,23E+007","0,5732008349","20162,0293751165",,,"99,0655457543",,,,"75,7982363492",460,28,,
"Panama","5832,8960103152","PAN","82,6","6,6589344696",,,,"79,9906596734","9,86E+009","2,561","1,91E+009","1,95E+010","11,5430551363",5500,10610,"1,84E+010","3,55E+010","23,4970798649","0,0803289885",89,"75,0166791546",,"16,5086609011","1,937034047","22,3097630609","75,5663414634",,"31,9136379033","41,2398000554",,"90,1224551716","22,7","93,953343733","-1,35E+008","1,6012891029","3340604,72971589",1,"98,8152327221","100,9970251779","44129,7345623221",,,"76,8324046292",75520,18,"5,2791309306","1,80E+008"
"Papua New Guinea","989,665093399","PNG","55,022","35,4585704543",,,,"89,5045523398","2,25E+009","3,785","9,58E+007","6,26E+009","6,2098725226",850,1870,"5,40E+009","1,18E+010","19,6955403781",,58,"68,0112555186",,"44,9385628515","2,4366824892","1,8184413896","57,42",,,"122,5671974945","0,5552291263","4,7437601467","65,1","177,1644314883","3,17E+008","1,95451225","6324097,1449619","1,5",,,"126658,395916343",,,"19,6028666942",462840,56,,"1,33E+007"
"Paraguay","1996,9440473412","PRY","72,3","22,0014388044",,"1,7565549683",,"50,9220902105","3,57E+009","3,083","1,96E+008","1,22E+010","6,7613044269",1710,4520,"1,05E+010","2,77E+010","18,0386876721","6,4003106454",80,"53,9164448293","3,4","19,976947984","10,2275620645","8,6639060162","71,7585365854",,,"81,8586532661","0,773837128","76,6990320285","28,8","99,2340425532","1,08E+008","1,7220512436","6120495,75574082","0,6",,,"15358,2330176164","20,3450148941",,"58,0216132116",406750,35,"6,236542772","4,84E+008"
"Peru","3763,4850055703","PER","54,7","6,6372952167",,"1,9556629234",,"28,8698254444","3,22E+010","2,599","5,34E+009","1,07E+011","8,8567316524",3340,7070,"9,53E+010","2,02E+011","22,9232535217","2,0589129414",99,"22,4017516645",,"36,9644041041","2,0376984797","26,7862535363","73,1343902439",,"98,7593294984","45,0879201793","1,1670106603","54,0795105849","19,9","161,8906942393","2,63E+008","1,1731709042","2,85E+007","0,5","103,8800841551","102,0667971824","56684,8861572106","19,9690148927",,"56,3983006792",1285220,72,"25,016235457","2,13E+009"
"Philippines","1623,5978587436","PHL","44,971","14,1898897876",,"-1,4670985436",,"42,5218926874","6,58E+010","3,11","2,93E+009","1,44E+011","7,0788153288",1600,3660,"1,42E+011","3,25E+011","15,3812828612","53,5882791926",92,"42,2751332509",,"31,564058875","2,9302610296","5,9739725289","71,6956097561",,"71,662314096","75,2982933085","0,9355323793","64,6370481993","28,2","81,6710686342","6,34E+008","1,8418139179","8,87E+007",,"94,1521792697","102,087663865","5399,1185685325","15,7559610946",,"54,2460513375",300000,58,"13,6611544177","1,63E+010"
"Poland","11143,3258538011","POL","13,915","4,3171649594",,"-2,0007385562",,"40,6115721888","1,95E+011","1,31","2,30E+010","4,25E+011","6,7",9870,15600,"3,76E+011","5,95E+011","23,646519171","3,7622559757",98,"43,2992190704",,"31,1158222263","3,9088090988","43,9554586816","75,143902439",,"48,8057527172","72,1673274454","1,9372635642","108,5733682821","6,8","109,3715505187",,"-0,0543050208","3,81E+007","0,1","96,3514025777","99,253893809","1406,0653883364","32,5076195517",,"64,5670128142",312690,31,"25,5587904945","1,05E+010"
"Portugal","20998,4193301836","PRT","16,489","2,6539332821",,"-2,5759280297",,"32,9368300174",,"1,3","5,53E+009","2,23E+011","1,7510412004",18960,21790,"2,01E+011","2,31E+011","22,1796909609","8,5830236637",95,"40,1009240207",,"24,4607487482","2,9825783413","40,0554186873","78,2970731707",,"59,372823709","58,2917393455","1,959987982","126,795873245","3,8",,,"0,226408471","1,06E+007","0,5",,"100,5192945777","3582,0889894597","39,3943637136",,"72,8853179697",92120,7,,"3,94E+009"
"Puerto Rico",0,"PRI","53,75",,,,,,,"1,7604",,,,,,,,,,,,,,,"25,3732403658","78,4258536585",,,,,,,,,"0,3676227072",3941160,,,,"1801,5000659704",,,,8950,7,,
"Qatar",0,"QAT","15,941",,,,,,,"2,43",,,,,,,,,,92,,,,,"30,8557051847","75,8353658537",,,,,"111,1481399108","14,9","186,0565233185",,"12,8272648314",1137553,,"103,7415273385","98,6130899384","44,8330759094",,,,11000,6,,
