"Country Name","GDP/population","Country Code","Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, value added (% of GDP)","Births attended by skilled health staff (% of total)","Cash surplus/deficit (% of GDP)","Contraceptive prevalence (% of women ages 15-49)","Exports of goods and services (% of GDP)","External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)","GDP (current US$)","GDP growth (annual %)","GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)","Gross capital formation (% of GDP)","High-technology exports (% of manufactured exports)","Immunization, measles (% of children ages 12-23 months)","Imports of goods and services (% of GDP)","Income share held by lowest 20%","Industry, value added (% of GDP)","Inflation, GDP deflator (annual %)","Internet users (per 100 people)","Life expectancy at birth, total (years)","Malnutrition prevalence, weight for age (% of children under 5)","Market capitalization of listed companies (% of GDP)","Merchandise trade (% of GDP)","Military expenditure (% of GDP)","Mobile cellular subscriptions (per 100 people)","Mortality rate, under-5 (per 1,000)","Net barter terms of trade (2000 = 100)","Official development assistance and official aid (current US$)","Population growth (annual %)","Population, total","Prevalence of HIV, total (% of population ages 15-49)","Primary completion rate, total (% of relevant age group)","Ratio of girls to boys in primary and secondary education (%)","Renewable internal freshwater resources per capita (cubic meters)","Revenue, excluding grants (% of GDP)","Roads, paved (% of total roads)","Services, etc., value added (% of GDP)","Surface area (sq. km)","Time required to start a business (days)","Total debt service (% of exports of goods, services and income)","Workers' remittances and compensation of employees, received (current US$)"
"Romania","7703,0339836135","ROM","31,231","8,9702493994",,"-2,3571153941",,"31,3361502347","8,54E+010","1,29","9,49E+009","1,66E+011",6,6390,12350,"1,38E+011","2,66E+011","29,6","3,6672198013",97,"43,7056832221",,"36,0789791976","10,8250951612","23,8786064224","72,57",,"27,0672748846","66,945047422","1,5710402767","94,7562089404","14,9",,,"-0,1891431466","2,15E+007","0,1","120,3444588959","99,2498873326","1963,1618936075","25,8152341955",,"54,9507714031",238390,14,"19,0593579112","8,54E+009"
"Russian Federation","9078,6919598393","RUS","25,061","4,7609129996",,"6,2348048043",,"30,4880045108","3,70E+011","1,41","5,51E+010","1,29E+012","8,1",7530,14330,"1,07E+012","2,04E+012","24,560892947","6,8707736451",99,"21,7861971541",,"38,4678381565","13,5262675784","21,1118930331","67,5829268293",,"116,5050556061","44,7947450542","3,4679908086","114,9190710767","14,5",,,"-0,2810964606","1,42E+008","1,1","93,3821154187","98,4051342827","30349,7536945813","31,5753893911",,"56,7712488439","1,71E+007",30,"9,1361605605","4,71E+009"
"Rwanda","360,8651857932","RWA","36,707","38,9316096873",,,,"9,7377600052","4,96E+008","5,43","6,71E+007","3,41E+009","7,9444532073",330,920,"3,14E+009","8,70E+009","20,7044656345","16,3268352728",99,"27,6747077428",,"13,9369014989","10,5481912729","2,1153871783","49,8114634146",,,"26,7897514535","1,6290443311","6,7178033312","180,6","127,2323008605","7,13E+008","2,620489027",9454534,"2,8",,"100,2331803034","1004,8089096723",,,"47,1314888139",26340,16,"3,2382887506","5,13E+007"
"Samoa","3002,8730311915","WSM","27,583","10,976593177",,,,,"1,14E+009","3,929",2490000,"5,44E+008","6,3920809993",2750,4440,"4,99E+008","8,04E+008",,,63,,,"31,4354011866","7,1299584191","4,6885548279","71,6180487805",,,"44,5611097765",,"47,4371429644","27,0348","80,2394456854","3,69E+007","0,5386587568","181292,537083156",,"98,3166960266",,,,,"57,5880056364",2840,35,"26,9158517021","1,20E+008"
"San Marino","55680,5134495294","SMR",,,,,,,,,,"1,70E+009","4,4759425428",46770,,"1,43E+009",,,,92,,,,"1,6827275818","51,013734467",,,,,,"57,2269457162","3,5",,,"1,3034217839",30580,,,,,,,,60,,,
"Sao Tome and Principe","917,1365016381","STP","66,117",,,,,,"1,69E+008","3,853","3,53E+007","1,45E+008",6,920,1710,"1,45E+008","2,70E+008",,,86,,,,"19,3886251608","14,5557729518","65,4334146341",,,"59,2679973191",,"19,0484439164","98,7",,"3,60E+007","1,8439030625","158012,907154674",,"72,1365360303","101,2658349123","13796,3413195484",,,,960,144,"39,16693678",2000000
"Saudi Arabia","15878,6218598269","SAU","26,143","2,7929661824",,,,"64,9879702271",,"3,352","-8,07E+009","3,84E+011","3,3809458408",15500,22950,"3,74E+011","5,54E+011","21,682596233","0,6106048718",96,"37,8688486961",,"65,6293494463","4,1243741442","26,1617221806","73,0117073171",,"134,2879595822","84,7703252102","9,2455708247","117,4835185455","24,8","236,5158083275","-1,31E+008","2,0009834718","2,42E+007",,"93,3592779354",,"99,3483120782",,,"31,5776843713",2000000,15,,
"Senegal","950,0396594435","SEN","104,369","13,5760921044",,,,"25,4456991523","2,59E+009","5,04","7,80E+007","1,13E+010","4,6601843773",870,1720,"1,03E+010","2,05E+010","30,9","3,9501969099",84,"47,8535198197",,"24,1978733808","5,6083849283","6,8946178679","55,4131707317",,,"54,1880293392","1,7085893922","30,5280562601","113,6","97,3840382187","8,43E+008","2,6451480976","1,19E+007",1,"50,1261349627","93,5615288162","2169,2822072194",,,"62,2260345148",196720,58,,"1,19E+009"
"Serbia","5435,405530541","SRB","22,102","12,9581844124",,"-0,9417791555",,"29,4046948347","2,63E+010","1,4","3,11E+009","4,01E+010","7,5263948072",4540,9830,"3,35E+010","7,26E+010","23,1050583436",,95,"51,4604705223",,"28,4360157938","6,8","20,3208554701","73,3829268293",,"59,6523229042","68,2385850141","2,4217811838","114,5099442816","7,7",,"8,34E+008","-0,4054585418",7381579,"0,1",,"101,8863398903",,"38,9220602104",,"58,6057997939",88361,23,,"5,58E+009"
"Seychelles","10728,3360807597","SYC",,"2,3937877441",,"-6,0121951701",,"108,8012829812","1,31E+009",,"2,49E+008","9,12E+008","7,2648020341",11060,19190,"9,40E+008","1,63E+009","33,2018327224",0,99,"143,9347841211",,"22,6926143985","6,6825226312","37,6328911469","73,1926829268",,,"133,6603448303","1,6685751677","90,881080064","12,82","83,2775718901",2780000,"0,5093389619",85032,,"113,8628158845","105,5895499007",,"40,4155590749",,"74,9135978573",460,38,"11,2388195145","1,12E+007"
"Sierra Leone","306,8992360958","SLE","126,02","44,6904762424",,,,"20,9495953301","3,48E+008","5,22","9,45E+007","1,66E+009","6,8453016884",280,720,"1,54E+009","3,89E+009","13,4374494646",,67,"28,3315474293",,"24,437262059","10,3006520701","0,2398346985","47,373902439",,,"41,4727446652","1,7720488094","14,3162866209","261,8",,"5,35E+008","2,7987649502",5420400,"1,7","80,7547087134","86,4281908758","29518,1167441517",,,"30,8722616986",71740,26,"2,5340455308","1,48E+008"
"Singapore","36383,53996463","SGP","4,539","0,0769885155",,"12,0463731713",,"230,1662089495",,"1,29","2,41E+010","1,67E+011","7,7662457085",31890,46820,"1,46E+011","2,15E+011","20,7443235789","46,4730721536",95,"198,4926732138",,"30,512547852","5,5780590032","67,6655188947","80,4926829268",,"211,73382651","336,9001771902","3,9608761143","129,1047378285","2,7","84,4808025802",,"4,1652294521",4588600,"0,2",,,"130,7588371181","20,86355525",,"69,4104636325",699,5,,
"Slovak Republic","13890,5874388374","SVK","20,704","3,5479452383",,"-1,8325425401",,"86,4727671538",,"1,25","3,36E+009","7,50E+010","10,423169947",11720,19220,"6,33E+010","1,04E+011","27,8375587833","5,0152803206",99,"87,4981446809",,"40,4804518786","1,1144713796","42,8291792331","74,1926829268",,"9,298548339","158,3744281172","1,518312202","112,4273759671","7,8",,,"0,1095402746",5397318,"0,1","94,1599176845","100,2055026223","2334,4927980897","29,0979883753",,"55,9716028831",49030,25,,"1,48E+009"
"Slovenia","23379,0075374723","SVN","4,885","2,3663176629",,"0,1501020074",,"70,1649002593",,"1,37","1,48E+009","4,72E+010","6,7645540783",21510,26230,"4,34E+010","5,29E+010","31,447738457","5,3660180245",96,"71,4685602051",,"34,3816526419","4,1245019552","52,5637201319","77,7397560976",,"61,3869073743","130,9032930371","1,4446950579","95,5547781551","3,9",,,"0,5592078155",2018122,"0,1",,"99,2778537497","9251,1751023971","36,97179569",,"63,2520296952",20270,60,,"2,84E+008"
"Solomon Islands","1071,8251691282","SLB","41,787","33,4130761204",,,,"43,1469581702","1,78E+008","3,866","4,24E+007","5,31E+008","10,2440924435",1050,2420,"5,18E+008","1,20E+009","18,8541743605",,78,"67,4545141197",,"6,7136640114","6,0132664347","1,8168540979","63,5887804878",,,"85,5385796255",,"2,2004121852","70,3","97,4393367641","2,48E+008","2,3157915253","495361,736002551",,,,"90237,0868624576",,,"59,8732598682",28900,57,,"2,04E+007"
"Somalia",0,"SOM","70,144",,,,,,"2,94E+009","6,043","1,41E+008",,,,,,,,,34,,,,,"1,1269642859","48,1348780488",,,,,"6,8997813423","141,5",,"3,84E+008","2,923328142","8695927,74367936","0,5",,,"689,978134232",,,,637660,,,
"South Africa","5929,7654932369","ZAF","59,16","3,1963807621",,"1,6478580711",,"31,5662257652","4,34E+010","2,69","5,75E+009","2,84E+011","5,0977873702",5730,9460,"2,74E+011","4,53E+011","21,3429537299","5,7265760387",83,"34,6557376721",,"31,1677151164","8,9904561141","8,2882800043","50,4634146341",,"293,7681873088","55,7664719054","1,435606072","88,3999607111",59,"126,7052566604","7,94E+008","0,965288206","4,79E+007","18,1","84,4544937276","99,7732102138","936,2454467751","31,9284763137",,"65,6359041215",1219090,31,"5,9391302292","8,34E+008"
"Spain","32016,978286785","ESP","12,121","2,9062654457",,"2,6106636389",,"26,1965541678",,"1,38","6,01E+010","1,44E+012","3,8251608528",29290,30750,"1,31E+012","1,38E+012","31,3053889706","5,1805356025",97,"32,7358817657",,"30,2750333495","3,0801804559","51,3050741277","80,8673170732",,"125,2774669233","44,7534227798","1,1638827716","107,8957448755","4,3","104,7060168412",,"1,7136229041","4,49E+007","0,5",,"102,7560331078","2477,7766054884","27,8039297117",,"66,8187012048",505370,47,,"1,07E+010"
"Sri Lanka","1617,0431963042","LKA","29,769","11,6831643329","98,5","-6,5208255092",68,"29,114999687","1,40E+010","1,882","6,03E+008","3,24E+010","6,7976434887",1540,4200,"3,08E+010","8,40E+010","27,3059288767",,98,"39,4915119731",,"29,9198197775","14,0275701144","3,8566466767","72,4192682927",,"23,3432085166","58,8440516189","2,8502065561","39,8974962519","20,5","75,7930374726","5,89E+008","0,6216182038","2,00E+007",,"104,3276481805",,"2498,7506246877","15,7741049234",,"58,3970158896",65610,39,"6,6506619967","2,53E+009"
"St. Kitts and Nevis","10487,4591280444","KNA",,,,,,,"2,74E+008",,"1,43E+008","5,12E+008","3,6877059822",9860,13660,"4,81E+008","6,66E+008",,"41,4511919049",99,,,,"-0,3131231365","30,7441045635",,,"85,9376722851","60,715506957",,,18,"78,1424865706",2890000,"0,8166957566","48789,8418670903",,"95,8139534884","97,3562242798","491,9056730165",,,,260,45,"17,3332789661","3,73E+007"
"St. Lucia","5686,6770128053","LCA","61,645",,,,,,"4,41E+008",,"2,61E+008","9,55E+008","1,1174351209",5310,8910,"8,93E+008","1,50E+009",,,94,,,,"3,2330136225","41,672753069","74,3867102463",,,"76,2075039631",,,"18,1","101,8379241078","2,36E+007","1,1745794266","167975,463210133","0,55","115,9574468085","103,2667142018",,,,,620,20,"7,5582194223","3,11E+007"
"St. Vincent and the Grenadines","5091,4416090326","VCT","58,928",,,,,,"2,53E+008","2,132","9,16E+007","5,55E+008","7,6931994225",4890,8520,"5,33E+008","9,28E+008",,,99,,,,"3,5008362818","52,2911793037","71,582195122",,,"67,4350007541",,"101,3632402183","19,1","101,3074931406","6,56E+007","0,1220872479",109005,,,,,,,,390,12,"10,7103643253","3,05E+007"
"Sudan","1143,3412204936","SDN","56,824","28,320098877",,,,"20,0899124146","1,91E+010","4,228","2,43E+009","4,62E+010","10,1626024246",910,1790,"3,67E+010","7,25E+010","24,2478656769",,79,"23,8848743439",,"30,7089729309","7,0294418335","8,656446322","57,9524390244",,,"38,1895909841",,"20,325563505","108,6","180,6989051077","2,10E+009","2,2187963886","4,04E+007","1,4","49,973513785","87,589467405","741,9811133159",,,"40,9709281921",2505810,39,"3,2477932701","1,77E+009"
"Suriname","4752,2015826536","SUR","39,461",,,,,,,"2,415","-2,47E+008","2,43E+009","5,3920704846",4450,6950,"2,27E+009","3,55E+009",,,85,,,,"8,8675555975","8,6212639557","68,9419512195",,,"112,4257275011",,,"28,5","166,4813385838","1,51E+008","1,000944704",510366,"2,4","83,9985953412","113,5821985468","172425,279113421",,,,163270,694,,"1,40E+008"
"Swaziland","2513,0946615381","SWZ","83,854","7,340860591",69,,"50,6","79,859647343","3,93E+008","3,574","3,75E+007","2,89E+009","3,5106127966",2550,4880,"2,93E+009","5,62E+009","12,9712290143","0,0593310656",91,"81,2218305725",,"49,3826563307","8,9456031835","4,0993608645","45,783902439",,"7,0185260887","134,7813839638","2,1386816278","33,0033289937","90,9","86,5956777191","6,28E+007","1,2837840221",1151399,"26,1","74,6231989908","91,6504735957","2292,8628564034",,,"43,2764830784",17360,61,"1,9322512901","1,00E+008"
"Sweden","49661,7310615599","SWE","7,721","1,5024882243",,,,"52,4082497474",,"1,85","1,23E+010","4,54E+011","2,7289030906",47870,37490,"4,38E+011","3,43E+011","19,7268864528","15,676822185",96,"44,7804347762",,"28,7632185173","3,0821083345","79,7451862093","80,9156097561",,"134,8191412392","70,6125727367","1,4056903052","113,3679022904","3,2","89,3113487979",,"0,7415525146",9148092,"0,1","95,0196559994","99,3770654614","18692,4224198882",,,"69,7342932584",450290,15,,"7,75E+008"
"Switzerland","56206,9552279924","CHE","5,518",,,,,,,"1,45","4,97E+010","4,24E+011","3,3",60820,44410,"4,59E+011","3,35E+011",,"21,604362328",86,,,,"1,4312977099","71,9643389067","81,7217073171",,"300,3334347435","78,5307139156","0,8087788553","108,7258315379","4,9","96,4223373828",,"0,8799172325",7550077,"0,6","87,561640905","97,1766107223","5350,938804995",,,,41280,20,,"2,03E+009"
"Syrian Arab Republic","1977,6054687535","SYR","61,101","18,1151043987",,,,"38,5137393926",,"3,285",,"4,05E+010","4,1999953761",1740,4200,"3,56E+010","8,62E+010","18,4575373869",,98,"37,7060452244",,"34,9533411086","13,7311846189","16,9235956232","74,1134146341",,,"64,615801127","4,0839506173","30,4072729128","16,9","134,4353632407","7,49E+007","3,5479151929","2,05E+007",,"114,3473346557","96,176903307","341,3981826009",,,"46,9315544927",185180,43,,"8,24E+008"
"Tajikistan","551,824456201","TJK","28,359","21,4250606906",,,"38,3","20,6592775818","1,23E+009","3,45","3,60E+008","3,71E+009","7,8",460,1700,"3,09E+009","1,15E+010",22,,85,"66,4311477966",,"27,5361441845","27,8554094653","7,197619518","66,6607317073",,,"105,674839785",,"34,9318909881","67,3",,"2,21E+008","1,5022544386",6727377,"0,3","94,7866412793","88,7709673317","9855,2526489893",,,"51,0387951249",142550,49,"2,3136985744","1,69E+009"
"Tanzania","407,6331970455","TZA","130,437",,,,,,"5,06E+009","5,579","6,47E+008","1,68E+010","7,1481014565",400,1130,"1,59E+010","4,68E+010",,"1,4925340004",90,,,,"8,9715946733","0,9690812448","55,3607317073",,,"44,6226045805","0,9642739831","20,1638115555","115,6","109,3712884391","2,81E+009","2,8480038827","4,13E+007","6,2","85,41029587",,"2035,0706141642",,,,947300,29,"2,5108621333","1,43E+007"
"Thailand","3532,6529449523","THA","37,28","11,8459243065",,"0,1373772003",,"76,0354492026","6,31E+010","1,81","9,50E+009","2,37E+011","4,9262435509",2660,6110,"1,78E+011","4,09E+011","27,8401712736","26,5583493821",96,"68,1129689583",,"45,5181855736","3,4496627144","20,0300513476","68,7624390244",,"82,8545700822","123,434114514","1,3534099343","118,0449636731",7,"96,1298501729","-3,12E+008","0,7083998103","6,70E+007","1,4","101,0994738437","104,4935811576","3135,2942628191","20,2963357821",,"42,6358901199",513120,33,"8,1041491414","1,64E+009"
"Timor-Leste","373,6044153873","TMP","53,766",,,,"19,8",,,"6,525",,"3,98E+008","7,7702702703",1520,3110,"1,62E+009","3,31E+009",,,63,,,,"12,8790170929",,"60,8236585366",,,,,,"96,8",,"2,78E+008","3,3667911467",1064141,,"69,3096119567",,,,,,14870,82,,
"Togo","396,6265273455","TGO","64,781",,,"-0,8310489984",,"41,9429885864","1,97E+009","4,304","6,90E+007","2,50E+009","1,9",370,810,"2,36E+009","5,10E+009",,"0,0579975204",80,"62,4515183485",,,"1,3424936192","5,4170346933","62,382195122",,,"84,0355150084",,"18,8932298177","100,3","85,5372913","1,21E+008","2,5005894983",6300495,"3,3","57,3803979743","75,2215494217","1825,2534126287","16,9738576287",,,56790,53,,"2,29E+008"
"Tonga","2453,1804862903","TON","22,75","27,5199078211",,,,,"9,05E+007","4,048","2,74E+007","2,53E+008","-0,2767829652",2460,3850,"2,54E+008","3,97E+008",,,99,,,"12,570122889","6,0340755269","8,1501174005","71,806097561",,,"59,7493666931","1,4962060912","45,140977626","23,0518",,"3,05E+007","0,5555542818",103066,,,,,,,"59,90996929",750,32,"2,7871342258","9,95E+007"
"Trinidad and Tobago","15661,6893616814","TTO","34,597","0,3689034528",,,,"57,5936231217",,"1,635",,"2,09E+010","5,5",14480,22420,"1,93E+010","2,99E+010","13,3718553864","1,5801179053",91,"37,0928162477",,"59,0879357799","3,8747955956","15,963393833","69,742195122",,"74,7467662366","100,8682044707",,"113,2590789903","35,3","132,2147139723","1,84E+007","0,3470149517","1333049,86537085","1,5","93,0624583696","101,3257069377","2880,6124210003",,,"40,5431607673",5130,43,,"1,09E+008"
"Tunisia","3424,7957364196","TUN","6,882","10,3460728258",,"-2,1573544655",,"54,1340377392","2,02E+010","2,03","1,62E+009","3,50E+010","6,3325170358",3210,7140,"3,28E+010","7,30E+010","24,8051180883","5,3372253404",98,"56,5368196966",,"29,6354253742","2,3736113885","16,8422751188","74,3024390244",,"15,2915314809","97,1129753636","1,3397086524","76,6974299294","21,2","91,4746890201","3,10E+008","0,9561081997","1,02E+007","0,1","99,8629227907",,"410,2528996421","29,9782659578",,"60,0185018",163610,11,"11,3173329087","1,72E+009"
"Turkey","8984,21727608","TUR","38,784","8,6739664957",,"1,3931859717",,"22,0497615123","2,51E+011","2,131","2,22E+010","6,56E+011","4,6206880583",8120,12970,"5,93E+011","9,47E+011","21,6291610442","0,3774335904",96,"27,1471702464",,"28,3086264909","7,5876006769","28,9581179791","71,7704878049",,"43,6926612886","42,2842381764","2,1101494128","84,89402241",23,"94,7061869802","7,97E+008","1,2624021768","7,30E+007",,"97,2707195395","89,5422660613","3109,4299064366","25,5208791606",,"63,0174070133",783560,6,"32,1353183753","1,21E+009"
"Turkmenistan","2604,3937269097","TKM","19,542",,,,,"62,7027303754","7,43E+008","2,499","8,04E+008","1,29E+010","11,6",2230,5650,"1,11E+010","2,80E+010",,,99,"47,8617883959",,,"9,7328958998","1,4103429056","63,1712195122",,,"88,4232081911",,"7,003359914",50,,"2,85E+007","1,2953100237","4963331,94734482","0,1",,,"274,0094787993",,,,488100,,,
"Uganda","388,1634613016","UGA","149,954","24,0382693769",,,,"16,7350629377","1,61E+009","6,381","4,84E+008","1,19E+010","8,5881089212",370,1050,"1,14E+010","3,23E+010","22,1020048985","10,5716310861",68,"30,5920639234",,"25,9195408805","7,276104291","3,6719653507","52,366097561",,,"43,5512161838","2,2580829426","13,6932581802","130,4","104,1668598232","1,73E+009","3,2705578975","3,06E+007","5,4",,"98,4856745363","1272,9479882591",,,"50,0421897425",241040,28,"2,1330241893","4,52E+008"
"Ukraine","3068,608997997","UKR","28,335","7,4604832598","98,7","-0,5552140813","66,7","44,8440541617","7,36E+010","1,2","9,89E+009","1,43E+011","7,9000007678",2570,6830,"1,19E+011","3,18E+011","26,6536336026","3,625727477",98,"50,3626179532",,"36,7341440705","22,752607649","21,5010530141","68,2170731707",,"78,3054689614","77,0143375268","2,8700028166","118,7726768919","24,2",,"4,05E+008","-0,5968048875","4,65E+007","1,6","101,3461376884","99,6330666195","1141,7059150472","34,3199890112",,"55,8053726697",603550,27,"16,9208794979","4,50E+009"
"United Arab Emirates",0,"ARE","16,021",,,,,,,"2,305",,,,,,,,,,92,,,,,"51,7790693306","79,2526829268",,,,,"177,1353364509","7,9","154,0085503723",,"2,6999730133","4364746,27531142",,"104,860670054","101,2512360931","34,3662587785",,,,83600,18,,
"United Kingdom","45442,1148832343","GBR","24,12","0,9394541523",,"-2,6864082991",,"25,9441820363",,"1,9","1,98E+011","2,77E+012","3,0247339295",43430,35540,"2,65E+012","2,17E+012","18,7460058072","19,4970786713",86,"29,4969104355",,"23,0813998792","3,0869012164","71,7257018989","79,326097561",,"139,1942187568","38,3297820064","2,3823983282","120,0369808264","5,8","104,4786203086",,"0,6520083146","6,10E+007","0,2",,"101,5896229612","2376,9969253627","38,0985873285",,"75,9791459685",243610,13,,"8,23E+009"
"United States","45641,7253965618","USA","35,882",,,"-2,1270568589",,,,"2,1","2,38E+011","1,38E+013",2,46090,45890,"1,39E+013","1,38E+013",,"28,4072204268",93,,,,"2,6563838903","73,5915669289","77,9853658537",,"145,0564337283","23,1458837235","4,0502144109","87,2913140164","7,6","96,5617634826",,"0,976239007","3,01E+008","0,6","96,3445105977","100,2968086443","9293,3718344452","19,5732862953",,,9632030,6,,"2,97E+009"
"Uruguay","7296,7785325822","URY","61,1","10,0031230145",,"-1,4822136765",,"27,9858493648","1,24E+010","2,02","8,79E+008","2,43E+010","7,5816527122",6620,11300,"2,20E+010","3,76E+010","20,9583272992","3,0783626113",96,"28,9149777426",,"27,4111431507","9,7772249314","29,1223638695","75,8551219512",,"0,6555672143","41,8162206086","1,1966389847","90,3853177557",14,"88,7573964497","3,38E+007","0,2844072722",3323906,"0,6","103,6660752638","97,9222891649","17750,2011188042","25,585741653",,"62,5857338348",176220,44,"19,0827969865","9,65E+007"
"Uzbekistan","830,4138756386","UZB","12,881","23,9512130412",,,,"40,2999240167","3,88E+009","2,39","2,62E+008","2,23E+010","9,5",730,2430,"1,97E+010","6,53E+010","19,4384533523",,99,"30,192645165",,"32,0085335574","24,0132963898","7,5406248372","67,1368292683",,,"57,7149058531",,"21,9153596498","40,8",,"1,66E+008","1,431980326","2,69E+007","0,1","97,4609479933","97,9388781809","608,1629310922",,,"44,0402534015",447400,15,,
"Vanuatu","2246,277199889","VUT","47,04","14,3901500577",,,,"42,3220469411","9,41E+007","3,744","3,42E+007","5,07E+008","6,8253885741",1970,3530,"4,45E+008","7,98E+008",,,65,"49,4420931127",,"8,8168526356","5,9067249295","7,525529905","70,1329268293",,,"45,6682067956",,"11,5096339724","34,1248",,"5,67E+007","2,2951807847","225897,71370948",,,,,,,"76,7929973067",12190,39,"1,4854251812",5543000
"Venezuela, RB","8298,6136613461","VEN","89,9",,,,,"31,0270708191","4,31E+010","2,58","6,46E+008","2,28E+011","8,4002928927",7550,12290,"2,08E+011","3,38E+011","27,9645819866",,55,"24,6963968481",,,"14,0309710712","20,8117490813","73,5624390244",,,"50,5376402313","1,3023109376","86,6722410217","19,3","161,6138460517","7,12E+007","1,6583276167","2,75E+007",,"97,7425167867","102,5779111714","26287,1957209912",,,,912050,141,"7,4348374204","1,36E+008"
"Vietnam","806,0939146283","VNM","16,64","20,2958877287",,,,"76,7885910587","2,42E+010","2,136","6,70E+009","6,86E+010","8,4796167129",770,2530,"6,54E+010","2,15E+011","41,6471811995",,83,"90,2224184123",,"41,6060978221","8,2445476853","20,9876354737","74,2226829268",,"28,4687785284","162,0766115677","2,0655323575","27,8671080584","14,9","91,9881643109","2,50E+009","1,2027905373","8,52E+007","0,5",,,"4303,921441984",,,"38,1241504701",329310,50,"2,2553552187","5,50E+009"
"Virgin Islands (U.S.)",0,"VIR","30,559",,,,,,,"1,88",,,,,,,,,,,,,,,"27,3171797744","78,7943902439",,,,,,,,,"0,0519161157",109821,,,,,,,,350,,,
"West Bank and Gaza",0,"WBG","78,738",,,,,,,"4,6",,,,,,,,,,,,,,,"9,5871190407","73,3514634146",,,,,"27,6657464752","27,3",,"1,87E+009","3,4428818587","3708069,11326357",,"82,7930639533","104,1382275589",,,,,6020,92,,"5,98E+008"
"Yemen, Rep.","967,6217254521","YEM","68,052",,,,,,"5,93E+009","5,501","9,17E+008","2,17E+010","3,3000000001",950,2440,"2,12E+010","5,45E+010",,"1,4417661101",74,,,,"10,938918742","1,4296495346","62,6853658537",,,"72,23531411","4,8503132977",,"72,5","154,7579249179","2,25E+008","2,950937491","2,24E+007",,,,"93,8207507083",,,,527970,63,"2,6966857994","1,32E+009"
"Zambia","926,5969955968","ZMB","141,798","21,6092214517","46,5","-0,8380454716","40,8","42,0823549813","2,79E+009","5,874","9,84E+008","1,14E+010","6,2000254218",740,1130,"9,12E+009","1,39E+010","24,0013181808","1,5201755799",85,"35,6495983797",,"38,1779727727","11,7998719972","4,8725257923","45,0826829268",,"20,5597924855","75,28224873","1,305042808","21,4312037526","169,8","193,2060041263","1,04E+009","2,4203366254","1,23E+007","15,2","88,0866719317","95,5612926721","6512,9428090534","17,597624419",,"40,2128057755",752610,33,"2,4774189807","5,93E+007"
"Zimbabwe",0,"ZWE","64,63",,,,,,"5,29E+009","3,471","6,89E+007",,,,,,,,"3,0935923386",66,,,,,"10,8520863839","43,8341463415",,,,,"9,845228042",90,"94,0385599814","4,65E+008","-0,0813615567","1,24E+007","15,3",,,"984,8007332829",,,,390760,96,,
